"ID","doi","smiles","DoU","NAts","NAtsBin","HOMO_indo","LUMO_indo","HOMO_pm7","LUMO_pm7","HOMO_qm_321","LUMO_qm_321","HOMO_qm_631","LUMO_qm_631"
"WUKYIL","10.1016/j.tet.2009.08.085","CC1(C)C2CCC1(C)c1pc3c(C4CCC3(C)C4(C)C)c(c3ccccc3)c21",12.0,61.0,"(60, 70]","","",-9.422758415114,-1.848741500297,-5.940789584116,-1.0149846623649998,-5.936163648657501,-1.118932153256
"WUQTOT","10.1515/hc-2013-0125","COc1cc(C)nc(c1)N1CCN2C(=O)NCCN=C12",8.0,37.0,"(30, 40]",-10.1533841037065,4.1331372752445,-8.724514274731,0.0198643110865,-5.4605086379835,0.1994594524165,-5.57833393525,-0.015238375628
"WUTRIN","10.1016/j.tet.2010.03.008","CCC1=C(CC)C2=CC3=NC(=C(CCCC=C)C4=C(CC)C(=C(N4)C=C4N=C(C=C1N2)C(=C4CC)CC)CC)C(=C3CC)CC",17.0,99.0,"(90, 100]",-7.4202725892845,0.162179854898,-7.2395889925525,-1.7619371819874998,-4.8030815751755,-1.949423624982,-4.803353689026,-1.920579556829
"WUTRUZ","10.1016/j.tet.2010.03.008","CCC1=C(CC)C2=CC3=NC(=C(C4=C(CC)C(=C(N4)C=C4N=C(C=C1N2)C(=C4CC)CC)CC)c1ccc(Br)cc1)C(=C3CC)CC",20.0,96.0,"(90, 100]","","","","",-4.9309750849105,-2.048473066564,-4.9195463031895015,-2.0302414385805
"WUXNOT","10.1016/j.ica.2010.01.040","CC(C)(C)[Si](SSSS[Si](C(C)(C)C)(C(C)(C)C)C(C)(C)C)(C(C)(C)C)C(C)(C)C",0.0,84.0,"(80, 90]","","",-8.4532167657825,-1.4653330849425,-6.1927670096790015,-1.3281877042905,-6.2387542504135,-1.4092776317395002
"XAVXEZ","10.3184/174751911X13152400816030","C=CC(=O)Oc1ccc2ccccc2c1C=CC=CC=Cc1c(OC(=O)C=C)ccc2ccccc12",21.0,60.0,"(50, 60]",-9.046152846022,1.6522753002360002,-8.383283506204,-1.1366195535385,-5.312750817162,-1.9437092341215,-5.207714870869,-1.889558577872
"XELFEC","10.1107/S205252061701441X","OP(O)(O)=O",0.0,8.0,"(0, 10]","","",-10.050797182068,-0.2255823820645,-6.917678307410999,0.961106119966,-7.4616338945605,0.330890442208
"XELFEC04","10.1107/S205252061701441X","OP(O)(O)=O",0.0,8.0,"(0, 10]","","",-9.7479344664615,-0.0878927737114999,-6.368824670952503,1.0027395390925,-6.938086846198499,0.3583739411085
"XEVJIU","10.1002/ejoc.201800367","CC(C)(C)c1cc(c(c(c1)C(C)(C)C)P1(=S)CC#CCCCCCC#CC1)C(C)(C)C",9.0,74.0,"(70, 80]","","",-8.179470232179499,-0.217146852699,-5.499965146306,-1.019338483973,-5.519557343542,-1.099884183721
"XEYXIJ","10.1107/S1600536807004072","CCc1ccc(cc1)C(=O)OC(CN1N=Nc2ccccc12)C(=O)c1ccc(C)cc1",16.0,54.0,"(50, 60]",-10.4020961630635,2.48712059357,-9.4186767073565,-0.7714427661675001,-6.465697201730499,-1.7298277476284998,-6.396308169853,-1.7635698650905005
"XIFVIT","10.1021/ja404830y","CSC1=C(SC)SC(S1)=C1C2=CC=C(N2)C(=C2C=CC(=N2)C(C2=CC=C(N2)C(=C2C=CC1=N2)c1ccccc1)=C1SC(=C(SC)S1)SC)c1ccccc1",29.0,86.0,"(80, 90]","","",-7.5732005732655,-1.7608487265855002,-4.579131876214,-2.4318814819185004,-4.5070217058315,-2.377730825669
"XIGJAZ","10.1021/jm060754+","CC(O)C1=C(CN2CCN(CC2)c2cccc(C)c2)N=NN1C(Cc1ccccc1)C(Cc1ccccc1)NC(=O)OC1CCCC1",18.0,95.0,"(90, 100]",-10.382231851977,4.0999393854834985,-8.2072258449305,-0.0900696845155,"","",-5.2338378005170005,-0.2293919759715
"XIRJAL01","10.2478/s11696-013-0503-9","N#CC(=Cc1ccc(cc1)N(c1ccccc1)c1ccccc1)c1ccccc1",19.0,49.0,"(40, 50]",-8.960164869264,2.314600412353,-8.170490475113,-0.9934876681755,-5.1908438121380005,-1.6492820478805,-5.1394142943935,-1.678942457585
"XIRQIZ","","COc1cc(OC)c(c(OC)c1)[Si]1(O[Si](C)(C)O[Si](C)(C)O1)c1ccccc1",9.0,56.0,"(50, 60]","","",-8.7133576068605,0.23946018844,-5.653165244137501,0.088709115263,-5.6776554906825005,-0.0223133357409999
"XOBBAS","10.1248/cpb.56.802","COCCCOc1ccnc(CS(=O)C2=Nc3ccccc3N2S(=O)(=O)c2cc(Cl)ccc2Cl)c1C",14.0,59.0,"(50, 60]","","",-8.8232916024625,-1.417713161105,-5.6145250773665,-1.7978562102535,-5.9560279597440005,-1.847108817194
"XOGDAY","10.1002/1522-2675(200206)85:6<1546::AID-HLCA1546>3.0.CO;2-2","CSC(C(O)C(C)C)N1C(C(C)C)C(OC1=O)(c1ccccc1)c1ccccc1",10.0,60.0,"(50, 60]","","",-8.4885915663475,-0.2038132740245,-5.819426806793,-0.598106243399,-5.885278358614,-0.667767389127
"XOGRUI","10.1021/cg401891f","NC(=S)c1ccc(F)cc1",5.0,16.0,"(10, 20]","","",-8.6464175996375,-1.2187979363895,-5.5511225502,-1.4754012974110002,-5.6368384131075,-1.56193350187
"XOHRAN","10.1002/1522-2675(200205)85:5<1517::AID-HLCA1517>3.0.CO;2-6","CCCCCCCCCC(=O)Oc1ccc(cc1F)N=Nc1ccc(cc1)C(=O)OCC",11.0,63.0,"(60, 70]",-10.559650082503,1.8120061304795,-9.756369995827,-1.6688742451165002,-6.070315776954,-2.440861238985,-6.377804428019,-2.4863042520185004
"XOPQUP","10.1002/anie.200803515","CC1(C)COC(=O)C(N1)C1CCCCC1=O",4.0,35.0,"(30, 40]",-11.312861220687,4.047965640038,-9.495684927048,1.02859035489,-5.777521273816,-0.2141536003435,-6.1282760271105,-0.4285793145375
"XOPZAF","10.1134/S1063774513080063","Cc1ccc(cc1)S(=O)(=O)NC(C(NCCNC(C(NS(=O)(=O)c1ccc(C)cc1)c1ccccc1)c1ccccc1)c1ccccc1)c1ccccc1",24.0,100.0,"(90, 100]","","",-9.071731547969,-0.2380996191875001,-5.6145250773665,-0.5760650215085,-5.9225579561325015,-0.7045027589445
"XUBHAF","10.1039/C5DT00595G","Cc1cc(C)c(NN=Nc2c(C)cc(C)cc2C)c(C)c1",9.0,44.0,"(40, 50]",-9.841813744884,3.9203442441535,-8.57158629075,0.2244939266625,-5.3658130180095,-0.3801430491484999,-5.4615970933855005,-0.4710290752155
"XUTJOL01","10.1021/ma301110c","O=C1OC2CCCCC2O1",3.0,20.0,"(10, 20]",-13.0459543345215,5.674390124476499,-11.2483702381185,0.8661383861415001,-7.289385827194001,1.3134935563635,-7.506260566042499,1.193491348293
"YAKREJ","10.1002/anie.201104303","CC(C)c1cc(C(C)C)c(c(c1)C(C)C)c1sc([s+]c1C(=O)[O-])N1CCCCC1",9.0,62.0,"(60, 70]","","",-8.483421403188,-1.7826178346255002,-4.442802837113501,-1.8767692268985,-4.8493409297605,-1.9431650064205
"YANDUP","","COC1=CC(=O)C(=CC1=O)C1=CC(=O)C(=CC1=O)OC",10.0,30.0,"(20, 30]",-11.159933236706,-0.0400007360234999,-10.2314807788,-2.1973193427875,-6.944889692461,-3.3004688927145,-7.1073416612095,-3.4376142733665
"YASCOL","10.1107/S1600536805006331","Cc1ccc(cc1C)C(O)(c1ccccc1Cl)C(O)(c1ccc(C)c(C)c1)c1ccccc1Cl",16.0,62.0,"(60, 70]","","",-9.1487397676605,-0.3616393073145,-6.1356231010740006,-0.5118461527905,-6.051539921269503,-0.577425590761
"YAXDUW01","10.1107/S0108270194005986","COc1ccc(C2=CC(=O)c3ccc(O)cc3O2)c(OC)c1OC",11.0,40.0,"(30, 40]",-10.3269927403255,2.391336518194,-9.212686522528,-0.8247770808655001,-5.886366814016,-1.256621761609,-5.938612673312,-1.3507731538820005
"YEFMOO","","O=C1CCCN(CCC2=C1C=CS2)C#N",7.0,27.0,"(20, 30]","","",-9.214319205631,-0.7382448764065,-6.3568516615305,-1.1333541873325002,-6.5209363133819975,-1.2865542851640002
"YEHRUY","10.1002/hlca.19940770304","CC1(C)C2CCC31CS(=O)(=O)N(C3C2)C(=O)C(O)OC(O)C(=O)N1C2CC3CCC2(CS1(=O)=O)C3(C)C",8.0,73.0,"(70, 80]","","",-10.2301202095475,0.1553770086355,-6.9146850550555,-0.330890442208,-7.1519683326915,-0.611711935924
"YEHSIN","10.1002/hlca.19940770322","Cc1ccc(cc1)S(=O)(=O)N1CCC(O)(C1C(=O)N1C2COC(OC2C2OC(OCC12)c1ccccc1)c1ccccc1)c1ccccc1",21.0,87.0,"(80, 90]","","",-8.8211146916585,-0.4927981832555001,-6.0602475644855,-0.918112131587,-6.307054826889001,-0.9831473418565
"YESSEV","10.1021/ol0624528","CCCCCCC(C(Nc1ccc(OC)cc1)c1cccnc1)C(=C)c1ccc(cc1)C(=O)OC",14.0,71.0,"(70, 80]",-9.568067211281,2.6479398792155,-7.9329350836265,-0.673753893838,-4.844987108152501,-1.183151021974,-4.917097278535,-1.280567780453
"YEXDOX","10.1021/acs.organomet.8b00283","CC(C)P(C(C)C)c1ccccc1C#N",6.0,33.0,"(30, 40]","","",-9.2924158807245,-1.0435566166675,-6.027321788575001,-1.237573792074,-6.071132118505501,-1.342609738367
"YEYREC","10.1021/jacs.8b04930","Cc1cc(C)c(N2C(=O)C(C)(C)C(=O)N3C2=C(P2C4(C)C=C(C)C=C(C)C324)C(C)(C)C)c(C)c1",13.0,71.0,"(70, 80]","","",-8.345731794835,-0.917023676185,-4.951927851399001,-0.8694037523475,-4.968254682429,-0.9858684803615
"YIBMOL","","CP(C)C([Si](C)(C)C)([Si](C)(C)C)[Si](C)(C)P(C)(C)=C([Si](C)(C)C)[Si](C)(C)C",0.0,81.0,"(80, 90]","","",-7.2330582601405,0.5668131505915001,-4.3674273005250015,0.5031385095745,-4.4166799074655,0.3752449998395
"YIBXIQ","10.1246/bcsj.74.959","COC(=O)C(NC(=O)C(NC(=O)C(C)NC(=O)OC(C)(C)C)=Cc1ccc2ccc3cccc4ccc1c2c34)C(C)C",17.0,79.0,"(70, 80]",-9.185475137478,1.43131885363,-8.2823292676685,-1.320840630327,-5.4343857083354985,-1.7798966961204998,-5.347581390026,-1.7567670188280002
"YIHZIZ","10.1002/ejoc.200700227","O=C(Nc1ccccc1C1=NC(CO1)c1ccccc1)C1CCCN1C(=O)OCc1ccccc1",17.0,62.0,"(60, 70]",-10.5844124428985,2.8906654338615003,-8.9005719360045,-0.5289893253719999,-5.8714005522385,-1.025324988684,-5.9813345478405004,-1.13743589509
"YIQJIT","10.1002/asia.201301233","CC(C)(C)[Si](C)(C)OC1CC=CCC(=O)C2OC(C)(C)OC12",4.0,52.0,"(50, 60]","","",-9.4007171932235,0.662869339818,-6.1037857805655005,-0.452797447232,-6.2686867739685,-0.6065417727645
"YIWLIA","10.1002/ejic.200701066","Fc1ccc(CCB2OC(c3ccccc3)(c3ccccc3)C(O2)(c2ccccc2)c2ccccc2)cc1",21.0,66.0,"(60, 70]",-11.1607495782575,3.742653899777,-9.416771910403,0.007619187814,-6.355491092278,-0.403272726441,-6.2376657950115,-0.456062813438
"YOMXUU","10.1021/jo802345f","Oc1cc2cc(C=O)c(O)cc2cc1C=O",9.0,24.0,"(20, 30]",-10.8211514928335,0.914846765381,-9.427656464423,-1.9404438679155,-6.254536853742501,-2.4841273412145,-6.2975308421215,-2.5878027182550003
"YUGDOV","10.1039/C5CC04469C","N#Cc1c(N2c3ccccc3c3ccccc23)c(C#N)c(N2c3ccccc3c3ccccc23)c(N2c3ccccc3c3ccccc23)c1N1c2ccccc2c2ccccc12",44.0,94.0,"(90, 100]",-9.414594999599,2.4961003506365,-8.3558000073035,-1.6797587991365002,-5.716023543603,-2.2876611411535004,-5.636566299257,-2.3263013079245
"YUMDEQ01","10.1002/adsc.201300973","CCOC(=O)CC1CCN2C(=O)c3ccccc3C12O",8.0,37.0,"(30, 40]",-11.2325876347895,2.7937929030835003,-9.7103827550925,-0.729809347041,-6.560392821704498,-1.098795728319,-6.715497716489501,-1.2030153330605
"YUQVIQ","10.1107/S1600536810022701","CC(=O)c1c(OCc2cc3cc(C)ccc3nc2Cl)nc2ccc(Cl)cc2c1c1ccccc1",19.0,54.0,"(50, 60]","","",-9.508746391872,-1.3319972981975,-6.494813383734,-1.689282783904,-6.3922264620955005,-1.680030912987
"ZAHFEW","10.1002/bip.22450","CCCC(CCC)(NC(=O)C(F)(F)F)C(O)=O",2.0,33.0,"(30, 40]",-12.0304254444555,3.881431963532,-10.7787017321555,-0.096872530778,-7.174553782283001,-0.6138888467279999,-7.3658498191845,-0.783143661739
"ZANNOR","10.1021/om00006a034","CC1(C)C2CC3OB(OC3(C)C1C2)C(Cl)COC(c1ccccc1)(c1ccccc1)c1ccccc1",15.0,70.0,"(60, 70]","","",-9.459221671081,-0.0519737454455,-6.370185240204999,-0.2266708374665,-6.2567137645465,-0.289529136932
"ZAPQEP","10.1039/C7CC00218A","CC1=C2C(=O)c3ccccc3CCC2=C(O1)c1ccccc1",13.0,38.0,"(30, 40]",-9.7435806448535,2.6098439401455,-8.8445164828015,-0.4917097278535,-5.762827125888999,-1.5401643938299998,-5.614797191217001,-1.5845189514615
"ZATHAD","10.3987/COM-93-6608","CC(=O)OC1C(=O)OC2CC3C(=CC(=O)C(O)C3(C)C3C(O)C(O)C4(COC(=O)c5ccc(Br)cc5)OCC23C14O)C",14.0,73.0,"(70, 80]","","",-9.9215431030805,-0.7964772404135001,-6.4297781734644985,-1.4027468993275,-6.6311424228345,-1.514041464182
"ZEPFOS","","CC(C)(C)c1ccc(NC(=O)c2ccccc2)c2ncccc12",12.0,43.0,"(40, 50]",-9.6646676282085,2.572020114926,-8.543558564148501,-0.8753902570584999,-5.629491339144001,-1.417713161105,-5.6507162194830025,-1.484108940627
"ZEZQAZ","10.1039/C8RA01656A","CCOP(=O)(OCC)C(NS(=O)(=O)c1ccc(C)cc1)C1COC(C)(C)N1C(=O)OC(C)(C)C",6.0,71.0,"(70, 80]","","",-8.784651435691499,-0.142587657662,-6.3095038515435,-0.6182426683360001,-6.491275903677501,-0.7289930054895001
"ZICMIH","10.1021/jo00123a032","COC(OC)(c1ccccc1)C(c1ccccc1)(c1ccccc1)c1ccccc1",16.0,56.0,"(50, 60]",-10.914486543555,4.120347924271,-9.234999858269,0.172520181217,-6.066506183047,-0.1014984662365,-5.994396012664501,-0.1526558701305
"ZIDCOE","10.1055/s-1995-4124","N#CC1=CSC(S1)=C1SC=CS1",7.0,15.0,"(10, 20]","","",-7.924227440410501,-1.109680282339,-4.961179722316,-1.4141756810485,-4.980227691851,-1.501524227059
"ZOPZEL","10.1002/anie.201403776","CCOC(=O)C1(C(CON2C(C)(C)CCCC2(C)C)CC(C1c1ccccc1)C(=O)c1ccccc1)C(=O)OCC",13.0,86.0,"(80, 90]",-11.059251112021,2.8966519385725,-9.0496903260785,-0.4644983428035,-5.5709868612864994,-1.286010057463,-5.8975234818865,-1.38233836054
"ZOWTOW","10.1016/j.tet.2014.10.042","COc1ccc(cc1)N(C(C(C(c1ccccc1)c1c(OC)cc(OC)cc1OC)N(=O)=O)c1ccccc1)C(=O)C(F)(F)F",18.0,76.0,"(70, 80]",-10.7906747415775,2.6147419894545,-9.007512679251,-0.204085387875,-5.5671772673795,-1.537987483026,-5.5911232862235005,-1.7575833603795
"ZUGMAR","10.1016/j.tet.2015.03.081","CN(C)c1ccc(cc1)C#CC(C#Cc1ccc(cc1)N(C)C)=C1C(=C(c2ccccc2)C(=C1c1ccccc1)c1ccccc1)c1ccccc1",32.0,92.0,"(90, 100]",-8.8466933936055,0.7053191004960001,-7.741639046724999,-1.245737207589,-4.7870268579960005,-2.105072747468,-4.731787746344501,-2.063167214491
"ZUJYIO","10.1002/cmdc.201300526","[N-]=[N+]=NCCCC1=C2C=CC(=N2)C(=C2NC(=C(CCCN=[N+]=[N-])C3=NC(=C(CCCN=[N+]=[N-])C4=CC=C1N4)C=C3)C=C2)CCCN=[N+]=[N-]",24.0,82.0,"(80, 90]",-7.347890305051499,-0.0868043183095,-7.575105370219001,-2.53610108666,-5.2479877207430015,-2.682498338229,-5.252885770052,-2.65038890387
"ZUMJUM","10.1021/ja951134t","CC1C(C)C2S(=O)(=O)C1S2(=O)=O",2.0,22.0,"(20, 30]","","",-10.5163839802735,-0.1417713161105,-7.6042215522225,0.3262645067494999,-7.826810681931501,-0.0242181326945
"ZUTQUC","10.1021/acs.joc.6b01731","Cc1ccc(cc1)S(=O)(=O)N1CC(c2ccccc2)C2(C)C1Nc1ccccc21",14.0,53.0,"(50, 60]","","",-8.415937168264,-0.149662617775,-5.345132365371501,-0.493614524807,-5.380779279787,-0.619331123738
"ZUTWAO","10.1002/asia.201501369","CCC(NC(=O)c1ccccn1)C(CC)C1(C(=O)N(C)c2ccccc12)c1ccccc1",15.0,61.0,"(60, 70]",-10.2415489912685,3.2090386389465,-8.661383861415,-0.5621872151330001,-5.683641995393503,-1.047638324425,-5.711125494294,-1.154851181522
"ZZZBFM02","10.1039/c39850000626","O=C1C2CCCC1C(NC2c1ccccc1)c1ccccc1",11.0,43.0,"(40, 50]",-10.747952867049,4.0019783993035,-9.316089785718,0.0497968346415,-5.669219961317,-0.286263770726,-6.00827381904,-0.4078986618994999
